,Beer Names,Rating,Locations,Reviews,Users
21,Hardywood Frosty GBS,3.7,"Richmond, Virginia",Medium gold pour. Thin foam. Sweet nose of spices and hints of cocoa. Lovely lovely sweet  taste of coconut with a nice coconut pala,Susie33
22,Quidi Vidi Bog and Barrens,3.5,"St. John's, Newfoundland","Can from friend. Pours brown coffee some head and lacing. Notes are roasted grain, some espresso, light tart berries. Taste medium bitter medium sweet. Medium creamy body lively carbonation.",rejtable
23,Hardywood Frosty GBS,3.7,"Richmond, Virginia","Gift from a friend. Thanks a bunch Becky! Kona coffee, wormwood, honey nose. Hazy amber, medium cream colored head, effervescent. Sweet honey and coffee, molasses. Full body, easy carbonation. Much sweeter than it needs to be.  The coffee used is not my favorite either. Still, I'm stoked I got to try this and enjoyed it.",obguthr
24,DuClaw Duclaw Oatshake,3.3,"Baltimore, Maryland","Firm medium size head with good retention and nice lace. Murky blond color. Nose of grapefruit, hint of sulfur. Medium body, not really “pillowy” as advertised, hint juicy. Little grainy, little citrus, little catty and maybe a hint of bandaids. Dry finish, citrus. Tangy.",sloth
25,Quidi Vidi Day Boil,3.8,"St. John's, Newfoundland","Can from friend. ours clear golden some head and lots of lacing. Notes of grapefruit, grassy, pine. Taste light bitter light sweet. Medium body lively carbonation. Well done.",rejtable
26,Mille Iles Scotch Ale #1,3.8,"Terrebonne, Quebec","A:toasty malts, caramel, light roasted malts. App: deep reddish brown with smallish beige head. T/p: full body with sweet finish of average duration. Soft to moderate carbonation O: Pretty good. I won't lie, I was a bit surprise by the roasty malts but it doesn't feel too out of style. Good maltiness.",punkska101
27,The Bruery Sucré (Portuguese Brandy),4.5,"Placentia, California","75CL, acquired in 2014 and forgot I had it. Finally opening February of 2020. ""will age for decades"" so let's see :) Dark reddish color, had a 7-up kind of carbonation when I poured it. can smell sweet syrupy brandy from a few feet away. maple syrup, baked apples and cinnamon aroma. wow, this has blended and aged so well. soggy oak, burnt sugar, vanilla, bible paper, ice cream, candied sugar and more apple. little bits of cherry and lovely smokey flavor with an oily grain alcohol finish. Easily the best of the anniversary beers.",AdamChandler
28,Brasseur de Montréal Griffintown,2.9,"Montréal, Quebec","Can from friend. Pours clear golden lots of head and some lacing. Notes are very floral and very fruity, lemon, grain, citrus. Taste light bitter light sweet. Light body lively carbonation.",rejtable
29,Boulevard Phantom Haze,3.0,"Kansas City, Missouri","The Aromas are crackers, Hops, straw and pale malt. Flavors are a little more sweet than light bitter. Very mild, hops and whole home. Okay body. Carbonation and finish. Boulevard could have done better with this.",drpimento
30,Eleventh Hour Double Nocturnal Rainbow,3.7,"Pittsburgh, Pennsylvania","Can from Liberty store. Pours black lots of head and lacing. Notes are milk chocolate, roasted marshmallows, coffee. Big sweet, medium bitter. Creamy body medium carbonation.",rejtable
